id,name,height,weight,types,abilities,base_stats,front_default_sprite,back_default_sprite,official_artwork
1,bulbasaur,7,69,[grass poison],[overgrow chlorophyll],"{""attack"":49,""defense"":49,""hp"":45,""special-attack"":65,""special-defense"":65,""speed"":45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png
2,ivysaur,10,130,[grass poison],[overgrow chlorophyll],"{""attack"":62,""defense"":63,""hp"":60,""special-attack"":80,""special-defense"":80,""speed"":60}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png
3,venusaur,20,1000,[grass poison],[overgrow chlorophyll],"{""attack"":82,""defense"":83,""hp"":80,""special-attack"":100,""special-defense"":100,""speed"":80}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png
4,charmander,6,85,[fire],[blaze solar-power],"{""attack"":52,""defense"":43,""hp"":39,""special-attack"":60,""special-defense"":50,""speed"":65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png
5,charmeleon,11,190,[fire],[blaze solar-power],"{""attack"":64,""defense"":58,""hp"":58,""special-attack"":80,""special-defense"":65,""speed"":80}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png
6,charizard,17,905,[fire flying],[blaze solar-power],"{""attack"":84,""defense"":78,""hp"":78,""special-attack"":109,""special-defense"":85,""speed"":100}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png
7,squirtle,5,90,[water],[torrent rain-dish],"{""attack"":48,""defense"":65,""hp"":44,""special-attack"":50,""special-defense"":64,""speed"":43}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png
8,wartortle,10,225,[water],[torrent rain-dish],"{""attack"":63,""defense"":80,""hp"":59,""special-attack"":65,""special-defense"":80,""speed"":58}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png
9,blastoise,16,855,[water],[torrent rain-dish],"{""attack"":83,""defense"":100,""hp"":79,""special-attack"":85,""special-defense"":105,""speed"":78}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png
10,caterpie,3,29,[bug],[shield-dust run-away],"{""attack"":30,""defense"":35,""hp"":45,""special-attack"":20,""special-defense"":20,""speed"":45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png
11,metapod,7,99,[bug],[shed-skin],"{""attack"":20,""defense"":55,""hp"":50,""special-attack"":25,""special-defense"":25,""speed"":30}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png
12,butterfree,11,320,[bug flying],[compound-eyes tinted-lens],"{""attack"":45,""defense"":50,""hp"":60,""special-attack"":90,""special-defense"":80,""speed"":70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png
13,weedle,3,32,[bug poison],[shield-dust run-away],"{""attack"":35,""defense"":30,""hp"":40,""special-attack"":20,""special-defense"":20,""speed"":50}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,kakuna,6,100,[bug poison],[shed-skin],"{""attack"":25,""defense"":50,""hp"":45,""special-attack"":25,""special-defense"":25,""speed"":35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,beedrill,10,295,[bug poison],[swarm sniper],"{""attack"":90,""defense"":40,""hp"":65,""special-attack"":45,""special-defense"":80,""speed"":75}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,pidgey,3,18,[normal flying],[keen-eye tangled-feet big-pecks],"{""attack"":45,""defense"":40,""hp"":40,""special-attack"":35,""special-defense"":35,""speed"":56}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,pidgeotto,11,300,[normal flying],[keen-eye tangled-feet big-pecks],"{""attack"":60,""defense"":55,""hp"":63,""special-attack"":50,""special-defense"":50,""speed"":71}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,pidgeot,15,395,[normal flying],[keen-eye tangled-feet big-pecks],"{""attack"":80,""defense"":75,""hp"":83,""special-attack"":70,""special-defense"":70,""speed"":101}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,rattata,3,35,[normal],[run-away guts hustle],"{""attack"":56,""defense"":35,""hp"":30,""special-attack"":25,""special-defense"":35,""speed"":72}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,raticate,7,185,[normal],[run-away guts hustle],"{""attack"":81,""defense"":60,""hp"":55,""special-attack"":50,""special-defense"":70,""speed"":97}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,spearow,3,20,[normal flying],[keen-eye sniper],"{""attack"":60,""defense"":30,""hp"":40,""special-attack"":31,""special-defense"":31,""speed"":70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,fearow,12,380,[normal flying],[keen-eye sniper],"{""attack"":90,""defense"":65,""hp"":65,""special-attack"":61,""special-defense"":61,""speed"":100}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,ekans,20,69,[poison],[intimidate shed-skin unnerve],"{""attack"":60,""defense"":44,""hp"":35,""special-attack"":40,""special-defense"":54,""speed"":55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,arbok,35,650,[poison],[intimidate shed-skin unnerve],"{""attack"":95,""defense"":69,""hp"":60,""special-attack"":65,""special-defense"":79,""speed"":80}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,pikachu,4,60,[electric],[static lightning-rod],"{""attack"":55,""defense"":40,""hp"":35,""special-attack"":50,""special-defense"":50,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,raichu,8,300,[electric],[static lightning-rod],"{""attack"":90,""defense"":55,""hp"":60,""special-attack"":90,""special-defense"":80,""speed"":110}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,sandshrew,6,120,[ground],[sand-veil sand-rush],"{""attack"":75,""defense"":85,""hp"":50,""special-attack"":20,""special-defense"":30,""speed"":40}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,sandslash,10,295,[ground],[sand-veil sand-rush],"{""attack"":100,""defense"":110,""hp"":75,""special-attack"":45,""special-defense"":55,""speed"":65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,nidoran-f,4,70,[poison],[poison-point rivalry hustle],"{""attack"":47,""defense"":52,""hp"":55,""special-attack"":40,""special-defense"":40,""speed"":41}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,nidorina,8,200,[poison],[poison-point rivalry hustle],"{""attack"":62,""defense"":67,""hp"":70,""special-attack"":55,""special-defense"":55,""speed"":56}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,nidoqueen,13,600,[poison ground],[poison-point rivalry sheer-force],"{""attack"":92,""defense"":87,""hp"":90,""special-attack"":75,""special-defense"":85,""speed"":76}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
